input,title,answers,url
check out a remote Git,Check synchronously if file/directory exists in Node.js,answer question changed years current answer top followed various answers years chronological order current answer use deprecated several years longer docs note deprecated callback parameter accepts parameters inconsistent node js callbacks use callback specifically asked synchronous check use asynchronous check instead usually best use using functions since deprecated function callback historical answers historical answers chronological order original answer update september update february noting impending deprecation probably back update december also note file directory exist error docs recommend using need check existence without opening update december still deprecated longer deprecated safely use original answer use docs link give object general synchronous version function available name async version end synchronous version synchronous version etc tells whether something exists whether file directory file systems symbolic link block device character device etc need know exists directory similarly file block device etc etc note throws error entry exist care entry want know whether exists use latest noted user require gives information thing deprecated long ago side note expressly asked check synchronously used versions functions wherever possible really best avoid synchronous calls calls subsystem take significant time cpu point view note easy call rather need synchronous version update september answer couple years ago bit date current way use synchronous check file directory existence course asynchronous check rather versions example update february node docs say deprecated node folks think dumb check whether something exists opening reason checking whether something exists probably back various methods unless changes yet course update december know long also least october documentation recommends using existence checks check file exists without manipulating afterwards recommended note access available considered error would probably best expecting file accessible update december use deprecated several years longer docs note deprecated callback parameter accepts parameters inconsistent node js callbacks use callback,https://stackoverflow.com/questions/4482686
check out a remote Git,How can I check for an active Internet connection on iOS or macOS?,important check always performed asynchronously majority answers synchronous careful otherwise freeze app swift install via cocoapods carthage https github com ashleymills reachability swift test reachability via closures objective add framework project worry including anywhere add tony million version project found https github com tonymillion reachability update interface section implement method file view controller call important note class one used classes projects might run naming conflicts projects happens rename one pairs files something else resolve issue note domain use matter testing gateway domain,https://stackoverflow.com/questions/1083701
check out a remote Git,How can I delete all of my Git stashes at once?,following command deletes stashes git documentation remove stashed states important warning states subject pruning may impossible recover,https://stackoverflow.com/questions/11369375
check out a remote Git,"How do I ""git clone"" a repo, including its submodules?",version git later used instead editor note optional performance optimization became available version fetches submodules time parallel see version git version flag available version version git later use already cloned repos older git versions use,https://stackoverflow.com/questions/3796927
How can I merge multiple commits onto another branch as a single squashed commit?,Break a previous commit into multiple commits,first start clean working directory show pending modifications deletions additions decide commit want split splitting recent commit split apart recent commit first commit pieces individually usual way producing many commits need splitting commit farther back requires rebasing rewriting history specify correct commit several choices three commits back many commits back farther back tree want count sha commit want split different branch feature branch want merge get rebase edit screen find commit want break apart beginning line replace short save buffer exit rebase stop commit want edit commit pieces individually usual way producing many commits need finally,https://stackoverflow.com/questions/6217156
How can I merge multiple commits onto another branch as a single squashed commit?,Undoing a git rebase,easiest way would find head commit branch immediately rebase started reflog reset current branch usual caveats absolutely sure reseting option suppose old commit ref log windows may need quote reference check history candidate old head windows disabled per branch reflogs able simply rebase detaches branch head reattaching final head would double check though verified recently per default reflogs activated non bare repositories,https://stackoverflow.com/questions/134882
How can I merge multiple commits onto another branch as a single squashed commit?,Move the most recent commit(s) to a new branch with Git,moving existing branch want move commits existing branch look like store uncommitted edits stash using complete retrieve stashed uncommitted edits moving new branch warning method works creating new branch first command want move commits existing branch need merge changes existing branch executing see moving existing branch merge changes first lost unless circumstances involved easily done branching rolling back make sure many commits go back alternatively instead simply provide hash commit reference like origin master want quot revert back quot master current branch quot losing quot commits master branch worry commits newbranch lastly may need force push latest changes main repo warning git version later later new branch upon original branch may need explicit option rebase avoid losing carried commits set makes likely see john mellor answer details,https://stackoverflow.com/questions/1628563
How can I merge multiple commits onto another branch as a single squashed commit?,Viewing unpushed Git commits,gives log commits origin master head head master branch gives log unpushed commits similarly view diff,https://stackoverflow.com/questions/2016901
How can I merge multiple commits onto another branch as a single squashed commit?,How do I diff the same file between two different commits on the same branch?,manpage instance see difference file main two commits back three equivalent commands,https://stackoverflow.com/questions/3338126
How can I merge multiple commits onto another branch as a single squashed commit?,Inserting multiple rows in a single SQL query?,sql server insert multiple rows using single sql insert statement reference look moc course writing sql queries sql server example,https://stackoverflow.com/questions/452859
How can I merge multiple commits onto another branch as a single squashed commit?,How can I merge multiple commits onto another branch as a single squashed commit?,say bug fix branch called want merge take commits branch squash commit merge branch explanation switches branch takes commits branch groups commit current branch merge commit appears could resolve conflicts manually following commit creates single commit merged changes omitting parameter lets modify draft commit message containing every message squashed commits finalizing commit,https://stackoverflow.com/questions/5308816
How can I merge multiple commits onto another branch as a single squashed commit?,How do I change the author and committer name/email for multiple commits?,note answer changes sha take care using branch already pushed want fix spelling name update old email git lets without rewriting history using see answer using rebase first already done likely want fix name git config optional also make sure reset committer name assuming need rewrite metadata range commits using rebase run step commit rewritten ran repeatedly also want change first commit also called root commit add rebase call change committer author configuration want change config use instead note update committer author single commit want change recent commit rebase necessary amend commit older git clients pre july may exist replacement use note serious issues deprecated,https://stackoverflow.com/questions/750172
How can I merge multiple commits onto another branch as a single squashed commit?,"How to replace master branch in Git, entirely, from another branch?",able use merge strategy overwrite master seotweaks like result master essentially seotweaks short docs strategy resolves number heads resulting tree merge always current branch head effectively ignoring changes branches meant used supersede old development history side branches note different xours option recursive merge strategy update comments get fatal change second line git,https://stackoverflow.com/questions/2862590
How can I merge multiple commits onto another branch as a single squashed commit?,Create a branch in Git from another branch,like method link posted look git flow set scripts created workflow answer question creates myfeature branch dev work merge changes dev without fast forward push changes server see want,https://stackoverflow.com/questions/4470523
How do I delete a Git branch locally and remotely,How do I delete a Git branch locally and remotely?,executive summary note cases delete local branch delete local branch use one following option alias deletes branch already fully merged upstream branch option alias deletes branch quot irrespective merged status quot source git delete learned honor force flag receive error try delete currently selected branch delete remote branch git delete remote branch using might easier remember added git quot delete remote branch tag quot starting git also use option alias therefore version git installed dictate whether need use easier harder syntax delete remote branch original answer jan chapter pro git scott chacon deleting remote branches suppose done remote branch say collaborators finished feature merged remote main branch whatever branch stable code line delete remote branch using rather obtuse syntax want delete server fix branch server run following boom branches server may want dog ear page need command likely forget syntax way remember command recalling syntax went bit earlier leave portion basically saying take nothing side make issued worked beautifully scott chacon right want dog ear page virtually dog ear answering stack overflow execute machines propagate changes,https://stackoverflow.com/questions/2003505
How do I delete a Git branch locally and remotely,How can I delete all of my Git stashes at once?,following command deletes stashes git documentation remove stashed states important warning states subject pruning may impossible recover,https://stackoverflow.com/questions/11369375
How do I delete a Git branch locally and remotely,How can I merge multiple commits onto another branch as a single squashed commit?,say bug fix branch called want merge take commits branch squash commit merge branch explanation switches branch takes commits branch groups commit current branch merge commit appears could resolve conflicts manually following commit creates single commit merged changes omitting parameter lets modify draft commit message containing every message squashed commits finalizing commit,https://stackoverflow.com/questions/5308816
How do I delete a Git branch locally and remotely,How do I delete all Git branches which have been merged?,note add branches exclude like master dev workflow possible ancestor usually branch quot sprint start quot tag master dev qa ancestors first list locally tracking branches merged remote consider using flag list remote tracking branches might see branches want remove add arguments skip important branches want delete like master develop following command skip master branch anything dev want skip add egrep command like following branch deleted delete local branches already merged currently checked branch see master dev excluded case ancestor delete merged local branch merged use delete remote use delete branch remote prune get rid remote tracking branches prune individual remote tracking branches answer suggests,https://stackoverflow.com/questions/6127328
How do I delete a Git branch locally and remotely,Move the most recent commit(s) to a new branch with Git,moving existing branch want move commits existing branch look like store uncommitted edits stash using complete retrieve stashed uncommitted edits moving new branch warning method works creating new branch first command want move commits existing branch need merge changes existing branch executing see moving existing branch merge changes first lost unless circumstances involved easily done branching rolling back make sure many commits go back alternatively instead simply provide hash commit reference like origin master want quot revert back quot master current branch quot losing quot commits master branch worry commits newbranch lastly may need force push latest changes main repo warning git version later later new branch upon original branch may need explicit option rebase avoid losing carried commits set makes likely see john mellor answer details,https://stackoverflow.com/questions/1628563
How do I delete a Git branch locally and remotely,"How to replace master branch in Git, entirely, from another branch?",able use merge strategy overwrite master seotweaks like result master essentially seotweaks short docs strategy resolves number heads resulting tree merge always current branch head effectively ignoring changes branches meant used supersede old development history side branches note different xours option recursive merge strategy update comments get fatal change second line git,https://stackoverflow.com/questions/2862590
How do I delete a Git branch locally and remotely,Make the current Git branch a master branch,problem two answers new master old master ancestor push everyone else get messed want want history little clearer would recommend adding information merge commit message make clear done change second line,https://stackoverflow.com/questions/2763006
How do I delete a Git branch locally and remotely,Can I recover a branch after its deletion in Git?,yes able find sha commit tip deleted branch commit recreate branch credit cascabel condensed one liner version snowcrash obtain sha deleted branch see something like terminal use one liner,https://stackoverflow.com/questions/3640764
How do I delete a Git branch locally and remotely,How can I delete using INNER JOIN with SQL Server?,need specify table deleting version alias,https://stackoverflow.com/questions/16481379
How do I delete a Git branch locally and remotely,How to get just one file from another branch?,see also git undo changes one file update august git new commands would default working tree restored want update index well meaning restore file content add index one command jakub nar bski mentions comments works except detailed question quot retrieve single file specific revision git quot need use full path root directory repo hence path app js used jakub example frosty mentions comment get recent state app js actually reference revision want illustrated question quot git checkout revision file git gui quot would filename full path versioned file shown schmijos adds comments also stash useful working two branches want commit,https://stackoverflow.com/questions/2364147
undo recent commit,How do I revert a Git repository to a previous commit?,depends lot mean quot revert quot temporarily switch different commit want temporarily go back fool around come back check desired commit want make commits go ahead make new branch go back check branch made changes always switching branches deal appropriate could reset throw away could stash checkout stash pop take could commit branch want branch hard delete unpublished commits hand want really get rid everything done since two possibilities one published commits simply reset mess already thrown away local changes least get back resetting undo published commits new commits hand published work probably want reset branch since effectively rewriting history case could indeed revert commits git revert specific meaning create commit reverse patch cancel way rewrite history manpage actually covers lot description another useful link git scm com section discussing git revert decide want revert revert revert described reset back revert see previous section may also find answer helpful case move head back previous location detached head amp undo commits,https://stackoverflow.com/questions/4114095
undo recent commit,How to change the commit author for a single commit?,interactive rebase point earlier history commit need modify list commits rebased change text next hash one want modify git prompts change commit use example commit history want change author would specify example see executing command need edit use change lines exit editor vim would pressing esc typing rebase started would first pause would would pause would rebase would complete use update origin updated commits,https://stackoverflow.com/questions/3042437
undo recent commit,How can I generate a Git patch for a specific commit?,try according documentation link flag tells git many commits included patch lt gt prepare patches topmost commits apply patch command,https://stackoverflow.com/questions/6658313
undo recent commit,Commit only part of a file in Git,use short git break file thinks sensible quot hunks quot portions file prompt question description option stage hunk next commit stage hunk next commit quit stage hunk remaining hunks stage hunk later hunks file stage hunk later hunks file select hunk go search hunk matching given regex leave hunk undecided see next undecided hunk leave hunk undecided see next hunk leave hunk undecided see previous undecided hunk leave hunk undecided see previous hunk split current hunk smaller hunks manually edit current hunk edit hunk manually replacing thanks veksen print hunk help file repository yet first afterwards go afterwards use check staged correct changes unstage mistakenly added hunks view commit edit commit message note far different command whose purpose parse commit data files reference future git tools interactive staging,https://stackoverflow.com/questions/1085162
undo recent commit,How to grep (search) committed code in the Git history,search commit content actual lines source opposed commit messages like need work run argument list long error want limit search subtree instance lib util need pass subcommand well grep commit text reason passing path commands return revisions list changes happened also need pass search imagine following scenario might find files contained revision returned even change file revision useful ways searching source search working tree text matching regular expression regexp search working tree lines text matching regular expression regexp regexp search working tree lines text matching regular expression regexp regexp reporting file paths search working tree files lines text matching regular expression regexp lines text matching regular expression regexp search working tree changed lines text matching pattern search revisions text matching regular expression regexp search revisions rev rev text matching regular expression regexp,https://stackoverflow.com/questions/2928584
undo recent commit,How can I see the changes in a Git commit?,see diff particular hash hash commit show difference ancestor see man pages git diff details command gitrevisions notation friends alternatively something similar commit data including diff merge commits see git show manpage also show difference head,https://stackoverflow.com/questions/17563726
undo recent commit,How can I merge multiple commits onto another branch as a single squashed commit?,say bug fix branch called want merge take commits branch squash commit merge branch explanation switches branch takes commits branch groups commit current branch merge commit appears could resolve conflicts manually following commit creates single commit merged changes omitting parameter lets modify draft commit message containing every message squashed commits finalizing commit,https://stackoverflow.com/questions/5308816
undo recent commit,How do I get the hash for the current commit in Git?,turn extended object reference hash use retrieve short hash turn references branches tags hashes use,https://stackoverflow.com/questions/949314
undo recent commit,Break a previous commit into multiple commits,first start clean working directory show pending modifications deletions additions decide commit want split splitting recent commit split apart recent commit first commit pieces individually usual way producing many commits need splitting commit farther back requires rebasing rewriting history specify correct commit several choices three commits back many commits back farther back tree want count sha commit want split different branch feature branch want merge get rebase edit screen find commit want break apart beginning line replace short save buffer exit rebase stop commit want edit commit pieces individually usual way producing many commits need finally,https://stackoverflow.com/questions/6217156
undo recent commit,How do I find and restore a deleted file in a Git repository?,find last commit affected given path file head commit previous commit must deleted checkout version commit using caret symbol one command file question using zsh extended glob option enabled caret symbol work use instead,https://stackoverflow.com/questions/953481
How to make dictionary in python,How do I make function decorators and chain them together?,long explanations see paolo bergantino answer decorator basics python functions objects understand decorators must first understand functions objects python important consequences let see simple example keep mind circle back shortly another interesting property python functions defined inside another function functions references okay still fun part seen functions objects therefore functions assigned variable defined another function means function another function function pass one parameter well everything needed understand decorators see decorators wrappers means let execute code function decorate without modifying function handcrafted decorators manually probably want every time call called instead easy overwrite function returned decorators demystified previous example using decorator syntax yes simple shortcut decorators pythonic variant decorator design pattern several classic design patterns embedded python ease development like iterators course accumulate decorators using python decorator syntax order set decorators matters answer question conclusion easily see answer question leave happy burn brain little bit see advanced uses decorators taking decorators next level passing arguments decorated function decorating methods one nifty thing python methods functions really difference methods expect first argument reference current object means build decorator methods way remember take consideration making general purpose decorator one apply function method matter arguments use passing arguments decorator great would say passing arguments decorator get somewhat twisted since decorator must accept function argument therefore cannot pass decorated function arguments directly decorator rushing solution let write little reminder exactly quot quot called telling python call function labelled variable quot quot important label give point directly decorator let get evil surprise let exactly thing skip pesky intermediate variables let make even shorter hey see used function call quot quot syntax back decorators arguments use functions generate decorator fly pass arguments function right decorator arguments arguments set variable see pass arguments decorator like function using trick even use wish remember decorators called python imports script dynamically set arguments afterwards quot import quot function already decorated change anything let practice decorating decorator okay bonus give snippet make decorator accept generically argument order accept arguments created decorator using another function wrapped decorator anything else saw recently wrapped function oh yes decorators let fun write decorator decorators used follows know last time feeling listening guy saying quot understanding recursion must first understand recursion quot feel good mastering best practices decorators decorators introduced python sure code run gt decorators slow function call keep mind cannot un decorate function hacks create decorators removed nobody uses function decorated decorated code decorators wrap functions make hard debug gets better python gt see module introduced python includes function copies name module docstring decorated function wrapper fun fact decorator decorators useful big question use decorators seem cool powerful practical example would great well possibilities classic uses extending function behavior external lib modify debugging want modify temporary use extend several functions dry way like course good thing decorators use right away almost anything without rewriting dry said python provides several decorators etc django uses decorators manage caching view permissions twisted fake inlining asynchronous functions calls really large playground,https://stackoverflow.com/questions/739654
How to make dictionary in python,Why is Dictionary preferred over Hashtable in C#?,worth dictionary conceptually hash table meant use class instead class easy answer generic type means get type safety insert random object cast values take interestingly implementation net framework based tell comment source code generic dictionary copied hashtable source source,https://stackoverflow.com/questions/301371
How to make dictionary in python,How do I sort a dictionary by key?,note python see answer standard python dictionaries unordered python even sorted key value pairs would able store way would preserve ordering easiest way use remembers order elements inserted never mind way printed work expected python python users one needs use instead,https://stackoverflow.com/questions/9001509
How to make dictionary in python,Create a dictionary with comprehension,use dict comprehension python later alternatively simpler cases earlier version python use constructor given separate arrays keys values use constructor,https://stackoverflow.com/questions/1747817
How to make dictionary in python,How do I sort a dictionary by value?,python cpython dicts preserve insertion order python cpython implementation detail older python possible sort dictionary get representation dictionary sorted dictionaries inherently orderless types lists tuples need ordered data type represent sorted values list probably list tuples instance list tuples sorted second element tuple wishing sort keys instead values python since unpacking allowed use want output dict use,https://stackoverflow.com/questions/613183
How to make dictionary in python,Replacements for switch statement in Python?,original answer written since python introduced statement provides first class implementation quot switch quot python example statement considerably powerful simple example could use dictionary,https://stackoverflow.com/questions/60208
How to make dictionary in python,How can I remove a key from a Python dictionary?,delete key regardless whether dictionary use two argument form return exists dictionary otherwise second parameter specified exist raised delete key guaranteed exist also use raise key dictionary,https://stackoverflow.com/questions/11277432
How to make dictionary in python,Extracting extension from filename in Python,use unlike manual string splitting attempts correctly treat extension instead extension treat extension instead extension,https://stackoverflow.com/questions/541390
How to make dictionary in python,How can I add new keys to a dictionary?,create new key value pair dictionary assigning value key key exist added points value exists current value points overwritten,https://stackoverflow.com/questions/1024847
How to make dictionary in python,Manually raising (throwing) an exception in Python,manually throw raise exception python use specific exception constructor semantically fits issue specific message raise generic exceptions avoid raising generic catch catch specific exceptions subclass problem hiding bugs example problem catch specific catches catch general exception best practices statement instead use specific exception constructor semantically fits issue also handily allows arbitrary number arguments passed constructor arguments accessed attribute object example prints python actual attribute added favor encouraging users subclass exceptions stop using introduction original deprecation args retracted best practices clause inside except clause might want example log specific type error happened raise best way preserving stack trace use bare raise statement example modify errors insist preserve stacktrace error value way error prone compatibility problems python prefer use bare raise explain returns type value traceback syntax python note compatible python want modify happens new raise setting new instance preserved whole traceback modifying args note best practice invalid syntax python making keeping compatibility much harder work around python avoid manually manipulating tracebacks less efficient error prone using threading may even get wrong traceback especially using exception handling control flow would personally tend avoid python exception chaining python chain exceptions preserve tracebacks aware allow changing error type raised compatible python deprecated methods easily hide even get production code want raise exception raise exception one intended valid python python following valid much older versions python lower may still see people raising strings modern versions actually raise raising type checking right exception reviewer aware issue could get production example usage raise exceptions warn consumers api using incorrectly create error types apropos quot want make error purpose would go except quot create error types want indicate something specific wrong application subclass appropriate point exception hierarchy usage,https://stackoverflow.com/questions/2052390
java exception,Why does Java have transient fields?,keyword java used indicate field part serialization means saved like file process java language specification java se edition section fields variables may marked indicate part persistent state object example may fields derived fields done programmatically rather state persisted via serialization class contains image thumbnail derived image example thumbnail image generated invoking method field marked original serialized rather persisting original image thumbnail image means less storage would needed save serialized object course may may desirable depending requirements system example time deserialization method called perform operations necessary restore state object back state serialization occurred thumbnail needs generated method overridden thumbnail generated calling method additional information article discover secrets java serialization api originally available sun developer network section discusses use presents scenario keyword used prevent serialization certain fields,https://stackoverflow.com/questions/910374
